Đơn hàng,KHSX,Khách hàng,Mã hàng,Tên hàng,Note,BOM,Loại hàng,Ngày giao,Tỉ lệ,Số lượng 1,Số lượng 2
SO2412-0059,MP25/01-001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G167TDLU.E1422,"Bao TP-PP, trắng đục, dệt caro, gập miệng PE, K55.0x85.0PB(+/-1), lồng LDPE-K59x106x45g, TL: PP-122g + PE-45g = 167g/bộ, MK: GJ-E1422 [Ép kiện: 300cái/kiện, bọc PP trắng không in, dán tem Louispack, bắn đai 3 ngang]",Đơn hàng Louis (PO5905),Version 1,,1/9/2025,0.167,14420,2408.14
SO2412-0059,MP25/01-001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,COB055085G167TDLU.E1422,"[Cột bao] Bao PP lồng PE, K55.0x85.0PB, TL: 167g/bộ, MK: GJ-E1422. [Cột bao: 1 tép 50 cái gấp đôi, 1 xấp gồm 2 tép (100 cái) trở đầu, buột dây chữ thập, bỏ vào túi trong suốt]",Đơn hàng Louis (PO5905),Version 1,,1/9/2025,0.167,14420,2408.14
SO2412-0059,MP25/01-001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,LOB-LD055085TDLU.E1422,"[LỒNG BAO] Bao PP trắng đục K55.0x85.0PB, gấp đáy 1 lần may 2 đường C6, TL PP: 121.6g/cái + lồng túi LDPE 59x106x45gr = 166.6 (gr/bộ), MK: GJ-E1422. Sau khi lồng, gập 1 lần miệng PE ra ngoài 20.0cm (sát viền PP).",Đơn hàng Louis (PO5905),Version 1,,1/9/2025,0.167,14420,2408.14
SO2412-0059,MP25/01-001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,INB055085TDLU.E1422,"Bao PP-In, màu trắng đục, K55.0x85.0PB(+/-1), gấp đáy 1 lần may 2 đường chỉ C6, MK: GJ-E1422, TL: 121.6gr/cái.",Đơn hàng Louis (PO5905),Version 1,,1/9/2025,0.167,14420,2408.14
SO2412-0059,MP25/01-001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,CMA055085G120TDLU,"[Cắt, may đáy] Bao PP, màu trắng đục, K55.0x85.0PB(+/-1), cắt thẳng dài 88.0cm, gấp đáy 1 lần may 2 đường chỉ C6, TL: 120.6gr/cái.",Đơn hàng Louis (PO5905),Version 1,,1/9/2025,0.167,14420,2408.14
SO2412-0059,MP25/01-001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,THACALUI055100100135TRDU,"Cuộn PP, màu trắng đục, K55.0cm, MĐ: 10.0x10.0, TL: 135.63g/m.",Đơn hàng Louis (PO5905),Version 1,,1/9/2025,0.167,14420,2408.14
SO2412-0059,MP25/01-001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,SOI-LU-03,"Sợi PP, trắng đục, 1370D, bản sợi 2.45mm (4kgf).",Đơn hàng Louis (PO5905),Version 1,,1/9/2025,0.167,14420,2408.14
SO2501-0002,MP25/01-002,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,SUI-TRANG,Sủi trắng,KHTK Ó T01,Version 1,HAT,1/31/2025,1,20000,20000
SO2412-0038,MP25/01-003,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),0102109030000000,"Vải cuộn PP, hấp PE bên trong, trắng trong, K58.5cm, TL: 100g/m. [850D, 8.0x8.0, 20micron]/HAPHAL585100TRTR",HALSTON K58.5 - 100g (Hấp - trắng trong),Version 1,THA,1/10/2025,0.1,501000,50100
SO2412-0038,MP25/01-003,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),THACUHAL595085080778TRTR,"Vải cuộn PP, trắng trong, dệt lồng PE, K59.5cm (+/-0.5), TL: PP-77.8g/m + HDPE-22.2g/m = 100g/m (TL vải: 65.4gsm)",HALSTON K58.5 - 100g (Hấp - trắng trong),Version 1,THA,1/10/2025,0.1,501000,50100
SO2412-0038,MP25/01-003,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),SOI-MA3-1,"Sợi PP, 880D, 2.91mm, trắng trong. [012Talc] [Cảnh báo: Không sử dụng sợi đồng cấp cho sợi này]",HALSTON K58.5 - 100g (Hấp - trắng trong),Version 1,THA,1/10/2025,0.1,501000,50100
SO2412-0038,MP25/01-003,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",HALSTON K58.5 - 100g (Hấp - trắng trong),Version 1,THA,1/10/2025,0.1,501000,50100
SO2412-0037,MP25/01-005,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),0102109008000000,"Vải cuộn PP, trắng đục, K58.5cm, MĐ: 10.0x10.0, dệt xếp, TL: 82.0g/m./THACUHAL585100100082TRDU",HALSTON K58.5 - 82g (Trắng đục),Version 1,THA,1/10/2025,0.082,308000,25256
SO2412-0037,MP25/01-005,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",HALSTON K58.5 - 82g (Trắng đục),Version 1,THA,1/10/2025,0.082,308000,25256
SO2412-0037,MP25/01-005,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),SUI-TRANG,Sủi trắng,HALSTON K58.5 - 82g (Trắng đục),Version 1,THA,1/10/2025,0.082,308000,25256
SO2412-0037,MP25/01-006,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),0102109008000000,"Vải cuộn PP, trắng đục, K58.5cm, MĐ: 10.0x10.0, dệt xếp, TL: 82.0g/m./THACUHAL585100100082TRDU",HALSTON K58.5 - 82g (Trắng đục),Version 2,THA,1/10/2025,0.082,258000,21156
SO2412-0037,MP25/01-006,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),SOI-GL4-4,"Sợi PP, trắng đục, 760D, 2.60mm. [No recycle]",HALSTON K58.5 - 82g (Trắng đục),Version 2,THA,1/10/2025,0.082,258000,21156
SO2412-0037,MP25/01-007,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),0119109032000000,"Vải cuộn PP, trắng đục, K56.0cm, MĐ: 10.0x10.0, TL: 78.0g/m. [810D]/THACUHAL560100100078TRDU",HALSTON K56 - 78g,Version 1,THA,1/10/2025,0.078,322000,25116
SO2412-0037,MP25/01-007,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),SOI-GL4-3,"Sợi PP, trắng đục, 760D, 2.60mm. [33%]",HALSTON K56 - 78g,Version 1,THA,1/10/2025,0.078,322000,25116
SO2412-0037,MP25/01-007,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),SUI-TRANG,Sủi trắng,HALSTON K56 - 78g,Version 1,THA,1/10/2025,0.078,322000,25116
