Chứng từ,Ngày tạo,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Kho,Đơn vị tính (1),SL 1,Đơn vị tính (2),SL 2,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Bộ phận,Đơn hàng/Hợp đồng mua,Lệnh sản xuất,Công việc,Công đoạn,Mã trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
PN,1/1/2025,PN01/25-066,Điêu chỉnh tồn kho SỢI,SOI-JB5-1,"Sợi PP, trắng UV, 1000D, 2.20mm. [120TCHF006R-25UV793]",KSO001,KG,1100,KG,1100,0,0,15512,4211,CTY00001,,,,,,,,,,2113
TP,1/1/2025,TP01/25-003,Nhập báo cáo khâu sợi X07 ngày 01/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,14,KG,14,0,0,1527,15412,CTY00001,,,,LSX12/24-062,Công đoạn tạo sợi,SOI,,THADGTAU127080080078TRDU,,2154
TP,1/1/2025,TP01/25-003,Nhập báo cáo khâu sợi X07 ngày 01/01/2025,PHE-PHESOI,Phế thu hồi khâu kéo sợi,KPH001,KG,8,KG,8,0,0,1527,15412,CTY00001,,,,LSX01/25-009,Công đoạn tạo sợi,SOI,,THADGTAU127080080078TRDU,,2154
TP,1/1/2025,TP01/25-003,Nhập báo cáo khâu sợi X07 ngày 01/01/2025,SOI-TP14-1,"Sợi PP, màu trắng đục, 820D, 3.0mm.",KSO001,KG,2980.22,KG,2980.22,0,0,15512,15412,CTY00001,,,,LSX12/24-062,Công đoạn tạo sợi,SOI,,THADGTAU127080080078TRDU,,2154
TP,1/1/2025,TP01/25-003,Nhập báo cáo khâu sợi X07 ngày 01/01/2025,SOI-TP14-1,"Sợi PP, màu trắng đục, 820D, 3.0mm.",KSO001,KG,851.78,KG,851.78,0,0,15512,15412,CTY00001,,,,LSX01/25-009,Công đoạn tạo sợi,SOI,,THADGTAU127080080078TRDU,,2154
TP,1/1/2025,TP01/25-003,Nhập báo cáo khâu sợi X07 ngày 01/01/2025,SOI-TP14-1,"Sợi PP, màu trắng đục, 820D, 3.0mm.",KSO001,KG,4493.8,KG,4493.8,0,0,15512,15412,CTY00001,,,,LSX01/25-009,Công đoạn tạo sợi,SOI,,THADGTAU127080080078TRDU,,2154
TP,1/1/2025,TP01/25-030,Nhập báo cáo ép kiện bao jumbo ngày 31/12/2024,01JBO-TOP8080110-BEIGE,"Bao Jumbo màu Beige 80x80x110- quai nẹp thân, thân tròn, đáy vuông, nắp ống nạp, đáy xã. Liner set trong may liền 4 góc, MK In:  ECO SODIUM,TL 2.73kg/cái.",KTP001,CAI,1010.1,KG,370,0,0,15516,15416,CTY00001,,,,LSX11/24-037,Công đoạn ép kiện JUMBO,BAOJUMBO,,01JBO-TOP8080110-BEIGE,,2157
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,66.9,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,66.3,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
TP,1/1/2025,TP01/25-077,Nhập tp thổi ngày 11/1/2025,HDPE0017-1,"Cuộn HDPE, K59.0cm, 22.2g/m, 22.0mic, trắng trong. [Ext B: 95.0HD + 5.0LL]",KBT001,M,66.1,KG,3100,0,0,15513,15413,CTY00001,,,,LSX01/25-007,Công đoạn thổi túi (HDPE - LDPE-LLDPE),PE,,0102109030000000,,2158
