Ngày lập đơn,Số đơn hàng,Khách hàng,Mã sản phẩm,Tên sản phẩm,Mã nhóm,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Đơn vị tính 2,Số lượng (1),Số lượng (2)
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.C300,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: C300 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",HAT_PP,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,2729.653216,2729.653216
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.T101,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: T101 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",HAT_PP,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,413.803812,413.803812
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.T301,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: T301 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",HAT_PP,HAT-PPKC,Hạt nhựa PP kéo sợi.,KG,KG,2148.875936,2148.875936
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.C300,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: C300 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",HATTAICAL,HAT-TACKS-JB,Hạt Taical kéo sợi Jumbo. [Hanotech: HF006R] [Châu Âu: PP1002BRT],KG,KG,1501.415376,1501.415376
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.T101,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: T101 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",HATTAICAL,HAT-TACKS-JB,Hạt Taical kéo sợi Jumbo. [Hanotech: HF006R] [Châu Âu: PP1002BRT],KG,KG,227.608182,227.608182
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.T301,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: T301 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",HATTAICAL,HAT-TACKS-JB,Hạt Taical kéo sợi Jumbo. [Hanotech: HF006R] [Châu Âu: PP1002BRT],KG,KG,1181.965296,1181.965296
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.C300,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: C300 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",MDM,MUC-IN,"TL phụ thuộc vào số mặt in, màu, diện tích phủ.",KG,KG,38.433216,38.433216
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.T101,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: T101 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",MDM,MUC-IN,"TL phụ thuộc vào số mặt in, màu, diện tích phủ.",KG,KG,5.826312,5.826312
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.T301,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: T301 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",MDM,MUC-IN,"TL phụ thuộc vào số mặt in, màu, diện tích phủ.",KG,KG,30.255936,30.255936
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.C300,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: C300 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",01,040010015000000,"Chỉ may PP 900D, màu trắng không tẩy.(Cơ lý > or = 3.6Kgf. Độ dãn > or = 20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), màu trắng không tẩy), kháng UV 1-2%",KG,KG,22.990896,22.990896
02/01/2025,SO2501-0001,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.T101,"Bao TP-PP, trắng đục, K55.0x90PB(+/-1), lồng LDPE-K58x123x39g, TL: PP-108g + PE-39g = 147g/bộ, MK: T101 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]",01,040010015000000,"Chỉ may PP 900D, màu trắng không tẩy.(Cơ lý > or = 3.6Kgf. Độ dãn > or = 20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), màu trắng không tẩy), kháng UV 1-2%",KG,KG,3.485322,3.485322
