Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
8/6/2024,O01,Ngày,,,SO2406-0058,MP24/06-204,LSX06/24-093,SUI-MAUCAM,Sủi màu CAM,0,0,280,0,0,-280,0,,,Không đạt
8/5/2024,O01,Ngày,,,SO2406-0058,MP24/06-204,LSX06/24-093,SUI-MAUCAM,Sủi màu CAM,0,0,2400,0,0,-2400,0,,,Không đạt
8/3/2024,O01,Ngày,,,SO2406-0058,MP24/06-204,LSX06/24-093,SUI-MAUCAM,Sủi màu CAM,0,0,1840,0,0,-1840,0,,,Không đạt
8/2/2024,O01,Ngày,,,SO2406-0058,MP24/06-204,LSX06/24-093,SUI-MAUCAM,Sủi màu CAM,0,0,520,0,0,-520,0,,,Không đạt
8/6/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2000,0,0,-2000,0,,,Không đạt
8/2/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,1680,0,0,-1680,0,,,Không đạt
8/9/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,1210,0,0,-1210,0,,,Không đạt
8/9/2024,O01,Ngày,,,SO2408-0012,MP24/08-016,LSX08/24-028,SUI-TRANG,Sủi trắng,0,0,1470,0,0,-1470,0,,,Không đạt
8/13/2024,O01,Ngày,,,SO2408-0012,MP24/08-016,LSX08/24-028,SUI-TRANG,Sủi trắng,0,0,2640,0,0,-2640,0,,,Không đạt
8/15/2024,O01,Ngày,,,SO2408-0012,MP24/08-016,LSX08/24-028,SUI-TRANG,Sủi trắng,0,0,2600,0,0,-2600,0,,,Không đạt
7/23/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2320,0,0,-2320,0,,,Không đạt
7/24/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,1800,0,0,-1800,0,,,Không đạt
7/31/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2800,0,0,-2800,0,,,Không đạt
8/1/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2720,0,0,-2720,0,,,Không đạt
7/29/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,840,0,0,-840,0,,,Không đạt
7/27/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2720,0,0,-2720,0,,,Không đạt
7/26/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,4000,0,0,-4000,0,,,Không đạt
7/2/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2200,0,0,-2200,0,,,Không đạt
7/4/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,5520,0,0,-5520,0,,,Không đạt
7/8/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2680,0,0,-2680,0,,,Không đạt
7/15/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2440,0,0,-2440,0,,,Không đạt
7/11/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2880,0,0,-2880,0,,,Không đạt
7/9/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2720,0,0,-2720,0,,,Không đạt
7/10/2024,O01,Ngày,,,SO2406-0045,MP24/06-172,LSX06/24-068,SUI-TRANG,Sủi trắng,0,0,2600,0,0,-2600,0,,,Không đạt
7/16/2024,SOI8,Đêm,,,SO2406-0040,MP24/06-148,LSX06/24-103,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",0,0,2834.3,0,105,-2834.3,-105,,,Không đạt
7/17/2024,SOI8,Đêm,,,SO2406-0040,MP24/06-148,LSX06/24-103,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",0,0,446.6,0,3,-446.6,-3,,,Không đạt
7/8/2024,SOI8,Đêm,,,SO2406-0040,MP24/06-148,LSX06/24-103,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",0,0,1251.6,0,7,-1251.6,-7,,,Không đạt
