Tên CN,Ngày,Ca,Máy,Đơn hàng,Mã SP,Số KHTK,LSX,Mã hàng,Tên hàng,Ngày giao hàng,Denier,Mật độ dọc,Mật độ ngang,ĐVT 1,ĐVT 2,Số lượng theo KH 1,Số lượng theo KH 2,Số lượng phế theo bom,Số lượng thực hiện 1,Số lượng thực hiện 2,Số lượng thực hiện phế,Số mét đầu ca,Số mét cuối ca,Số lượng nhập kho 1,Số lượng nhập kho 2,Số lượng nhập kho trừ lõi,Số lượng sợi,Số lượng phế,Đánh giá % sợi,Đánh giá % phế,Đánh giá %
,10/1/2024,N,68,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,1340,104.52,3,4135,5475,0,0,0,-104.52,-3,,,Không đạt
,10/1/2024,N,68,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,1340,104.52,0,4135,5475,0,0,0,-104.52,0,,,Không đạt
,10/1/2024,N,69,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-112,LSX09/24-043,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,2.20545,1264,98.592,3.5,5016,230,6050,463,459,53.508,-1.2946,0.648205128,1.586977,Không đạt
,10/1/2024,N,69,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-112,LSX09/24-043,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,2.20545,1264,98.592,0,5016,230,6050,464,460,53.508,2.2055,0.648205128,0,Không đạt
,10/1/2024,N,70,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,1350,105.3,2.5,1350,2700,0,0,0,-105.3,-2.5,,,Không đạt
,10/1/2024,N,70,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,1350,105.3,0,1350,2700,0,0,0,-105.3,0,,,Không đạt
,10/1/2024,N,71,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-112,LSX09/24-043,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,2.20545,460,35.88,3.5,5590,0,6050,462.5,458.5,116.22,-1.2946,0.235897436,1.586977,Không đạt
,10/1/2024,N,71,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-112,LSX09/24-043,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,2.20545,460,35.88,0,5590,0,6050,460.5,456.5,116.22,2.2055,0.235897436,0,Không đạt
,10/1/2024,N,71,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,720,56.16,0,0,720,0,0,0,-56.16,0,,,Không đạt
,10/1/2024,N,71,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,720,56.16,0,0,720,0,0,0,-56.16,0,,,Không đạt
,10/1/2024,D,68,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,980,76.44,0,0,980,0,0,0,-76.44,0,,,Không đạt
,10/1/2024,D,68,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,980,76.44,0,0,980,0,0,0,-76.44,0,,,Không đạt
,10/1/2024,D,68,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-112,LSX09/24-043,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,2.20545,554,43.212,10,5475,0,6029,458,454,108.888,-7.7946,0.284102564,4.534222,Không đạt
,10/1/2024,D,68,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-112,LSX09/24-043,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,2.20545,554,43.212,0,5475,0,6029,456,452,108.888,2.2055,0.284102564,0,Không đạt
,10/1/2024,D,69,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,1410,109.98,0,230,1640,0,0,0,-109.98,0,,,Không đạt
,10/1/2024,D,69,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,1410,109.98,0,230,1640,0,0,0,-109.98,0,,,Không đạt
,10/1/2024,D,70,SO2407-0025,THACUTAU127080080078TRDU,MP24/07-113,LSX09/24-087,THACUTAU127080080078TRDU,"Vải manh cuộn PP, trắng đục, K127.0cm, MĐ: 8.0x8.0, TL: 78.0g/m (61.4gsm)./THACUTAU127080080078TRDU",8/15/2024,1,0,0,M,KG,210000,16380,0,1665,129.87,8,2700,4365,0,0,0,-129.87,-8,,,Không đạt
