Đơn hàng,KHSX,Khách hàng,Mã hàng,Tên hàng,Note,BOM,Loại hàng,Ngày giao,Tỉ lệ,Số lượng 1,Số lượng 2
SO2408-0015,MP24/08-023,UNIPACK INTERNATIONAL (HONGKONG) LIMITED.,0119132012001000,"Manh tròn JB, trắng UV, K174.5-175.5cm x 132.0-133.0cm, TL: 776.0g (+/-5%), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [UP01050R3] [68”×52”-HK+GRADE 2S1C]","Đơn hàng Unipaack, 40ft, đóng cont 25/10, TP114369",Version 3,TPH,10/25/2024,0.776,25000,19400
SO2408-0015,MP24/08-023,UNIPACK INTERNATIONAL (HONGKONG) LIMITED.,MANH175133G763TDUNP.HKGD,"Manh tròn PP, trắng đục UV, K175.5cmx133.0cm, TL: 763.92g/cái (+/-23.00), MK: HK+GRADE 2S1C (1+1). [UNP170gsm] [68”×52”-HK+GRADE 2S1C]","Đơn hàng Unipaack, 40ft, đóng cont 25/10, TP114369",Version 3,TPH,10/25/2024,0.776,25000,19400
SO2408-0015,MP24/08-023,UNIPACK INTERNATIONAL (HONGKONG) LIMITED.,MANH175133G763TDUNP,"Manh tròn PP, trắng đục UV, K175.5cmx133.0cm, TL: 763.42g/cái (+/-23.00).","Đơn hàng Unipaack, 40ft, đóng cont 25/10, TP114369",Version 3,TPH,10/25/2024,0.776,25000,19400
SO2408-0015,MP24/08-023,UNIPACK INTERNATIONAL (HONGKONG) LIMITED.,THACAUNP175120122574TRDU,"Vải cuộn PP, K175.5cm, MĐ: 12.0x13.0, TL: 574.0g/m. [UNP170gsm]","Đơn hàng Unipaack, 40ft, đóng cont 25/10, TP114369",Version 3,TPH,10/25/2024,0.776,25000,19400
SO2408-0015,MP24/08-023,UNIPACK INTERNATIONAL (HONGKONG) LIMITED.,SOI-JB54,"Sợi PP, trắng UV, 1160D,2.15mm (cũ 2.20mm).","Đơn hàng Unipaack, 40ft, đóng cont 25/10, TP114369",Version 3,TPH,10/25/2024,0.776,25000,19400
SO2408-0015,MP24/08-023,UNIPACK INTERNATIONAL (HONGKONG) LIMITED.,SOI-JB55,"Sợi PP, trắng UV, 1850D, 5.0mm.","Đơn hàng Unipaack, 40ft, đóng cont 25/10, TP114369",Version 3,TPH,10/25/2024,0.776,25000,19400
SO2409-0064,MP24/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,THACADOW455100110065CA00,"Cuộn PP, màu cam, K45.5cm (+/-0.5), MĐ: 10x11, TL: 65g/m (71.6gsm).",KHTK DỆT BỔ SUNG VẢI DONGWON PO10.,Version 3,BAO,10/4/2024,0.054,8500,459
SO2409-0064,MP24/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,SOI-DCA-01-1,"Sợi PP,dùng sủi màu cam, 710D, 2.60mm.",KHTK DỆT BỔ SUNG VẢI DONGWON PO10.,Version 3,BAO,10/4/2024,0.054,8500,459
SO2409-0064,MP24/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,SUI-MAUCAM,Sủi màu CAM,KHTK DỆT BỔ SUNG VẢI DONGWON PO10.,Version 3,BAO,10/4/2024,0.054,8500,459
SO2409-0064,MP24/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,THACADOW455100110065VABT,"Cuộn PP, vàng chanh hai biên 2.5cm trong suốt trong, K45.5cm (+/-0.5), MĐ: 10x11, TL: 65g/m (71.6gsm).",KHTK DỆT BỔ SUNG VẢI DONGWON PO10.,Version 2,BAO,10/4/2024,0.054,12000,648
SO2409-0064,MP24/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,SOI-DVA-04,"Sợi PP, màu vàng EMH22296 , 2.6mm, 720D.",KHTK DỆT BỔ SUNG VẢI DONGWON PO10.,Version 2,BAO,10/4/2024,0.054,12000,648
SO2409-0064,MP24/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,SOI-DTT-02,"Sợi PP, trắng trong, 720D, bản sợi 2.60mm.",KHTK DỆT BỔ SUNG VẢI DONGWON PO10.,Version 2,BAO,10/4/2024,0.054,12000,648
SO2409-0064,MP24/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,THACADOW455100110065VAC0,"Cuộn PP, vàng chanh, K45.5cm (+/-0.5), MĐ:10x11, TL: 65g/m (71.6gsm).",KHTK DỆT BỔ SUNG VẢI DONGWON PO10.,Version 2,BAO,10/4/2024,0.054,8900,480.6
SO2409-0064,MP24/10-001,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,SOI-DVA-04,"Sợi PP, màu vàng EMH22296 , 2.6mm, 720D.",KHTK DỆT BỔ SUNG VẢI DONGWON PO10.,Version 2,BAO,10/4/2024,0.054,8900,480.6
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.TSH528,"Bao TP-PP, trắng đục, may miệng, , K55.0x90PB(+/-1), lồng LDPE-K58x113x42g, TL: PP-105g + PE-42g = 147g/bộ, MK: TSH-528 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]","Đơn hàng Louis, giao 4/10/2024.",Version 2,,10/4/2024,0.147,8000,1176
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,COB055090G147TDLU.TSH528,"[Cột bao] Bao PP lồng PE, K55x90PB, TL: 147g/bộ, MK: TSH-528. [Cột bao: 1 tép 50 cái gấp đôi, 1 xấp gồm 2 tép (100 cái) trở đầu, buột dây chữ thập]","Đơn hàng Louis, giao 4/10/2024.",Version 2,,10/4/2024,0.147,8000,1176
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,LOB-LD055090TDLU.TSH528,"[LỒNG BAO]Bao PP trắng đục K55x90PB,miệng gấp 1 lần may 1 đường PP600D), gấp đáy 2 lần may 2 đường 900D,TL PP: 104.41g/cái, lồng túi LDPE 58x113(+1/-0) TL túi 42gr (+/-1), tổng cộng 146.41 (gr/bộ), MK: TSH-528","Đơn hàng Louis, giao 4/10/2024.",Version 2,,10/4/2024,0.147,8000,1176
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,MMI055090G105TDLU.TSH528,"[MAY MIỆNG] Bao PP, trắng đục, K55x90PB (+/-1), miệng gấp 1 lần may 1 đường PP600D, đáy gấp 2 lần may 2 đường PP900D, TL: 104.41gr/cái(+/-3), MK:TSH-528","Đơn hàng Louis, giao 4/10/2024.",Version 2,,10/4/2024,0.147,8000,1176
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,INB055093TDLU.TSH528,"Bao PP-In, màu trắng đục, khổ 55x93PB (+/-1), gấp đáy 2 lần may 2 đường PP900D, MK: TSH-528, TL sau in: 104.01gr/cái(+/-3g).","Đơn hàng Louis, giao 4/10/2024.",Version 2,,10/4/2024,0.147,8000,1176
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,CMA055093G102TDLU,"[Cắt, may đáy] Bao PP, màu trắng đục, khổ 55x93PB(+/-1), cắt thẳng dài 98cm, gấp đáy 2 lần may 2 đường chỉ PP900D, TL: 103.01gr/cái(+/-3).","Đơn hàng Louis, giao 4/10/2024.",Version 2,,10/4/2024,0.147,8000,1176
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,THACALUI055105105104TRDU,"Cuộn PP, màu trắng đuc, K55cm (+/-0.5), MĐ: 10.5x10.5, TL: 104.5g/m (95gsm).","Đơn hàng Louis, giao 4/10/2024.",Version 2,,10/4/2024,0.147,8000,1176
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,SOI-LU-01,"Sợi PP, trắng đục, 1030D, bản sợi 2.45mm(4kgf).","Đơn hàng Louis, giao 4/10/2024.",Version 2,,10/4/2024,0.147,8000,1176
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,TPH055090G147TDLU.TSH566,"Bao TP-PP, trắng đục, may miệng, , K55.0x90PB(+/-1), lồng LDPE-K58x113x42g, TL: PP-105g + PE-42g = 147g/bộ, MK: TSH-566 [Ép kiện: 300cái/kiện, bắn đai 3 ngang x 2 dọc]","Đơn hàng Louis, giao 4/10/2024.",Version 1,,11/4/2024,0.147,3200,470.4
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,COB055090G147TDLU.TSH566,"[Cột bao] Bao PP lồng PE, K55x90PB, TL: 147g/bộ, MK: TSH-566. [Cột bao: 1 tép 50 cái gấp đôi, 1 xấp gồm 2 tép (100 cái) trở đầu, buột dây chữ thập]","Đơn hàng Louis, giao 4/10/2024.",Version 1,,11/4/2024,0.147,3200,470.4
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,LOB-LD055090TDLU.TSH566,"[LỒNG BAO]Bao PP trắng đục K55x90PB,miệng gấp 1 lần may 1 đường PP600D), gấp đáy 2 lần may 2 đường 900D,TL PP: 104.41g/cái, lồng túi LDPE 58x113(+1/-0) TL túi 42gr (+/-1), tổng cộng 146.41 (gr/bộ), MK: TSH-566","Đơn hàng Louis, giao 4/10/2024.",Version 1,,11/4/2024,0.147,3200,470.4
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,MMI055090G105TDLU.TSH566,"[MAY MIỆNG] Bao PP, trắng đục, K55x90PB (+/-1), miệng gấp 1 lần may 1 đường PP600D, đáy gấp 2 lần may 2 đường PP900D, TL: 104.41gr/cái(+/-3), MK:TSH-566","Đơn hàng Louis, giao 4/10/2024.",Version 1,,11/4/2024,0.147,3200,470.4
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,INB055093TDLU.TSH566,"Bao PP-In, màu trắng đục, khổ 55x93PB (+/-1), gấp đáy 2 lần may 2 đường PP900D, MK: TSH-566, TL sau in: 104.01gr/cái(+/-3g).","Đơn hàng Louis, giao 4/10/2024.",Version 1,,11/4/2024,0.147,3200,470.4
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,CMA055093G102TDLU,"[Cắt, may đáy] Bao PP, màu trắng đục, khổ 55x93PB(+/-1), cắt thẳng dài 98cm, gấp đáy 2 lần may 2 đường chỉ PP900D, TL: 103.01gr/cái(+/-3).","Đơn hàng Louis, giao 4/10/2024.",Version 1,,11/4/2024,0.147,3200,470.4
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,THACALUI055105105104TRDU,"Cuộn PP, màu trắng đuc, K55cm (+/-0.5), MĐ: 10.5x10.5, TL: 104.5g/m (95gsm).","Đơn hàng Louis, giao 4/10/2024.",Version 1,,11/4/2024,0.147,3200,470.4
SO2409-0066,MP24/10-002,CÔNG TY CỔ PHẦN BAO BÌ LOUIS,SOI-LU-01,"Sợi PP, trắng đục, 1030D, bản sợi 2.45mm(4kgf).","Đơn hàng Louis, giao 4/10/2024.",Version 1,,11/4/2024,0.147,3200,470.4
